Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Country,Capital
524.45,344.27,1012.53,615.19, Russia,Saint Petersburg
291.55,177.72,545.5,314.98, Turkey,Istanbul
212.22,128.36,353.76,225.34, Turkey,Izmir
986.93,758.13,1819.32,1271.16, Finland,Helsinki
244.49,177.96,428.67,330.84, Moldova,Chisinau
1099.67,731.69,2311.84,1428.3, Italy,Milan
188.0,109.76,352.74,229.29, Egypt,Cairo
219.72,159.73,398.18,259.32, Bosnia And Herzegovina,Banja Luka
290.07,157.97,608.91,299.45, Azerbaijan,Baku
309.42,186.98,634.96,388.33, Mexico,Guadalajara
155.63,100.89,295.43,186.01, Nepal,Kathmandu
318.43,192.28,608.96,426.13, Vietnam,Hanoi
421.19,284.19,971.4,588.11, Vietnam,Ho Chi Minh City
550.18,342.38,1139.78,734.62, Mexico,Mexico City
987.37,679.27,1870.0,1176.32, Italy,Rome
342.55,207.9,757.86,461.34, Mexico,Monterrey
332.66,232.83,549.9,394.59, Russia,Yekaterinburg
254.49,170.61,510.21,307.2, Bosnia And Herzegovina,Sarajevo
346.56,217.86,615.91,392.63, Ukraine,Kharkiv
589.81,340.8,988.82,560.35, Ukraine,Kiev
833.74,661.22,1352.81,1045.82, Canada,Calgary
173.76,121.37,331.41,244.12, Tunisia,Tunis
841.34,680.79,1340.62,1052.03, Canada,Edmonton
1584.45,1195.63,2683.74,1884.0, Netherlands,Amsterdam
341.08,216.64,652.24,395.57, Serbia,Belgrade
344.01,232.04,599.79,405.27, Ukraine,Odessa
1177.51,837.76,2597.17,1736.93, France,Paris
965.16,838.0,1513.54,1245.65, Netherlands,Eindhoven
240.77,179.23,412.1,290.7, Bulgaria,Plovdiv
336.96,269.45,543.56,440.83, Greece,Thessaloniki
961.81,745.27,1642.15,1256.39, Canada,Ottawa
370.72,285.96,665.27,479.09, Bulgaria,Sofia
1103.13,844.33,1845.83,1230.43, Netherlands,Rotterdam
235.36,170.63,440.04,305.21, Bulgaria,Varna
262.4,195.75,451.15,302.16, Serbia,Novi Sad
1135.77,791.9,1944.44,1272.5, Netherlands,Utrecht
896.5,651.04,1681.19,1217.77, Germany,Berlin
719.35,393.83,1647.29,751.31, Lebanon,Beirut
1581.66,995.9,2750.15,1714.92, United States,"Austin, TX"
1859.98,1174.57,3509.54,2007.43, Singapore,Singapore
1474.75,1180.29,2401.86,1792.3, Canada,Toronto
1127.81,947.13,2002.12,1640.38, New Zealand,Auckland
307.27,222.86,553.57,389.5, Montenegro,Podgorica
1424.9,1133.13,2586.43,1863.02, Canada,Vancouver
1013.36,636.07,2270.89,1221.64, Japan,Tokyo
1047.12,872.6,1847.98,1513.3, Canada,Victoria
679.1,640.46,1000.58,944.4, Canada,Winnipeg
2275.95,1716.68,3574.7,2503.07, United States,"Boston, MA"
1702.25,1100.17,3168.97,1953.12, United States,"Chicago, IL"
288.22,178.04,565.15,357.57, Kazakhstan,Almaty
1280.03,990.78,2080.65,1595.19, Norway,Oslo
986.97,723.8,1878.93,1307.69, Germany,Frankfurt
635.45,486.91,1055.77,794.0, Slovakia,Bratislava
1322.45,961.01,2476.25,1607.56, United States,"Dallas, TX"
473.12,341.08,777.81,542.49, Croatia,Zagreb
873.12,647.42,1730.0,1306.25, Germany,Hamburg
513.06,392.83,897.17,626.23, Poland,Krakow (Cracow)
385.07,276.53,698.49,488.06, Latvia,Riga
515.0,380.61,840.83,612.47, Poland,Gdansk
369.11,349.97,701.83,635.33, Chile,Santiago
383.88,170.65,832.14,403.17, Kenya,Nairobi
1167.16,888.13,2308.39,1770.69, United Arab Emirates,Abu Dhabi
1258.81,859.49,2166.31,1494.14, United States,"Houston, TX"
306.63,184.31,625.77,348.41, Georgia,Tbilisi
1348.79,888.37,2749.41,1887.72, United Arab Emirates,Dubai
341.45,245.33,608.02,431.88, Colombia,Bogota
558.68,439.63,948.79,715.4, Czech Republic,Brno
1198.0,873.39,2191.11,1681.91, Germany,Munich
443.21,351.37,742.09,582.42, Poland,Poznan
992.86,874.56,1665.0,1339.05, United States,"Las Vegas, NV"
2015.24,1420.02,3634.96,2373.78, United Kingdom,London
1980.11,1564.78,3611.37,2696.53, United States,"Los Angeles, CA"
811.63,547.73,1387.66,962.66, Panama,Panama City
714.76,465.05,1903.9,1036.41, South Korea,Seoul
616.05,467.73,1071.69,789.88, Poland,Warsaw
805.86,593.84,1294.8,908.64, Czech Republic,Prague
517.55,411.5,843.34,642.74, Poland,Wroclaw
478.24,273.76,845.42,450.9, Malaysia,Kuala Lumpur
2854.26,1788.76,5574.89,3314.05, United States,"New York, NY"
1234.4,919.12,2210.96,1655.25, Denmark,Copenhagen
579.89,448.26,1063.75,783.33, Slovenia,Ljubljana
149.06,88.87,360.85,219.96, India,Chandigarh
325.83,116.89,768.96,272.27, Sri Lanka,Colombo
153.28,94.92,344.64,208.55, India,Noida
359.31,246.21,616.67,396.0, Lithuania,Kaunas
377.05,338.69,677.0,612.7, Greece,Athens
1092.25,824.8,1657.74,1317.96, United States,"Phoenix, AZ"
2041.88,1405.71,4516.75,2823.07, Hong Kong,Hong Kong
1399.8,1045.69,2472.7,1769.49, United States,"Portland, OR"
886.21,619.04,1697.7,1131.34, Portugal,Lisbon
946.89,575.19,1986.46,1223.57, China,Beijing
695.92,468.15,1431.46,954.95, South Africa,Cape Town
296.37,175.58,578.83,326.01, Albania,Tirana
682.5,507.14,1281.43,862.5, Portugal,Porto
302.38,325.53,583.09,639.56, South Africa,Durban
480.55,356.04,920.02,635.08, Hungary,Budapest
488.14,329.77,840.0,523.64, Lithuania,Vilnius
421.71,369.1,854.92,706.5, South Africa,Johannesburg
950.28,725.42,1502.94,1088.73, Spain,Barcelona
1816.1,1479.24,3254.51,2492.91, United States,"San Diego, CA"
3131.06,2527.11,5661.53,4320.95, United States,"San Francisco, CA"
435.67,279.01,847.79,560.23, Peru,Lima
1919.17,1450.04,3199.48,2321.44, United States,"Seattle, WA"
304.39,228.7,468.59,359.43, Romania,Brasov
401.41,268.02,670.59,441.78, Romania,Bucharest
209.86,124.02,449.24,239.9, Uzbekistan,Tashkent
199.17,149.35,366.69,267.89, India,Ahmedabad
387.79,284.75,698.74,497.97, Romania,Cluj-Napoca
933.23,703.38,1643.28,1122.1, Spain,Madrid
533.33,364.36,869.29,611.46, Estonia,Tallinn
213.5,124.18,545.83,315.83, India,Bangalore
272.07,202.65,479.23,338.9, Romania,Iasi
163.9,98.51,398.88,225.75, India,Chennai
1320.12,874.29,2500.0,1729.62, Qatar,Doha
200.32,123.19,491.27,291.67, India,Delhi
238.36,146.22,569.92,350.88, India,Gurgaon
672.08,463.64,1053.57,704.81, Spain,Valencia
858.37,621.65,1584.2,1105.34, Austria,Vienna
156.95,92.66,392.34,221.72, India,Hyderabad
428.25,338.45,727.77,578.57, Uruguay,Montevideo
1326.91,993.88,2192.51,1613.78, Israel,Tel Aviv-Yafo
287.68,217.44,531.19,385.53, Romania,Timisoara
487.78,323.83,1084.45,730.68, Taiwan,Taipei
138.31,79.35,321.93,184.5, India,Kolkata
233.43,168.07,418.35,296.24, Macedonia,Skopje
970.31,477.33,2220.7,1159.18, China,Shanghai
611.26,299.91,1819.06,803.37, Thailand,Bangkok
515.42,263.33,1443.43,608.27, India,Mumbai
1458.29,1203.14,2332.0,1918.32, Iceland,Reykjavik
373.84,261.02,619.69,446.92, Jordan,Amman
205.68,127.68,400.17,259.74, India,Pune
1167.36,804.1,1930.04,1198.21, Sweden,Stockholm
245.13,197.02,436.43,334.47, Argentina,Buenos Aires
376.92,244.9,593.05,386.38, Belarus,Minsk
461.72,405.66,884.11,757.82, Costa Rica,San Jose
386.18,180.27,793.74,383.51, Morocco,Casablanca
362.66,280.88,593.51,473.31, Poland,Lodz
871.26,551.99,1481.25,942.77, Canada,Montreal
448.08,294.58,879.31,580.49, Brazil,Sao Paulo
952.59,715.92,1561.88,1138.77, Sweden,Gothenburg
1692.24,1405.38,2964.36,2292.57, Ireland,Dublin
888.23,518.48,1840.45,990.88, Russia,Moscow
381.17,203.64,754.18,359.54, Dominican Republic,Santo Domingo
817.81,601.79,1369.39,971.7, Australia,Adelaide
1701.77,1263.69,3099.86,2296.54, Switzerland,Zurich
320.04,170.55,664.25,313.63, Armenia,Yerevan
552.51,192.18,1679.37,462.62, Philippines,Manila
1041.75,757.35,1796.62,1148.61, Australia,Brisbane
401.19,224.82,1361.18,634.08, Indonesia,Jakarta
198.86,125.32,322.86,200.2, Turkey,Ankara
364.65,249.9,589.43,414.33, Ukraine,Lviv
344.85,225.13,635.89,406.41, Russia,Novosibirsk
177.53,121.74,315.38,203.48, Turkey,Bursa
838.2,686.19,1432.14,1116.71, Belgium,Brussels
919.4,740.05,1577.52,1213.39, Israel,Jerusalem
1134.86,859.46,2027.71,1341.31, Australia,Melbourne
897.5,639.56,1474.61,982.76, Australia,Perth
1568.39,1140.67,2674.32,1810.32, Australia,Sydney
142.04,84.65,285.82,169.03, Egypt,Alexandria
369.07,221.89,680.28,447.51, Ecuador,Quito
